Company,Website,Funding,Employees,City
Stripe,stripe.com,$2.3B,8000,San Francisco
Datadog,datadoghq.com,$1.2B,5000,New York
Twilio,twilio.com,$2.5B,7000,San Francisco
Asana,asana.com,$450M,2000,San Francisco
Notion,notion.so,$275M,500,San Francisco
Canva,canva.com,$500M,4000,Sydney
Figma,figma.com,$330M,2000,San Francisco
Airtable,airtable.com,$1.4B,1000,San Francisco
Linear,linear.app,$55M,100,San Francisco
Vercel,vercel.com,$150M,500,San Francisco
Supabase,supabase.com,$190M,300,San Francisco
Railway,railway.app,$50M,50,Portland
